average_packet_size,packet_length_mean,subflow_fwd_bytes,total_fwd_packet_length,fwd_header_length, fwd_packet_length_max,packet_length_std,packet_length_variance,max_packet_length,init_win_bytes_fwd,flow_iat_max,fwd_iat_max,flow_duration,fwd_segment_size,fwd_packet_length_mean,flow_bytes_per_sec,fwd_iat_total,fwd_iat_mean,fwd_packets_per_second,avg_bwd_segment_size,Label
1514.917526,1514.917526,124298,146947,289238,4266,1092.642854,1193868.406,4266,261,0.37253046,0.37253046,1.764528275,1514.917526,1514.917526,83278.34817,1.764528275,0.018380503,54.97219931,0,BENIGN
1528.704082,1528.704082,127164,149813,294922,4266,1095.501155,1200122.78,4266,261,0.37253046,0.37253046,1.767602682,1528.704082,1528.704082,84754.90647,1.767602682,0.018222708,55.44232366,0,BENIGN
1542.212121,1542.212121,130030,152679,300606,4266,1098.126635,1205882.107,4266,261,0.37253046,0.37253046,1.767603874,1542.212121,1542.212121,86376.25332,1.767603874,0.018036774,56.00802388,0,BENIGN
1555.45,1555.45,132896,155545,306290,4266,1100.532684,1211172.187,4266,261,0.37253046,0.37253046,1.767603874,1555.45,1555.45,87997.65732,1.767603874,0.017854585,56.5737615,0,BENIGN
1554.564356,1554.564356,134362,157011,309174,4266,1095.106762,1199258.82,4266,261,0.37253046,0.37253046,1.767603874,1554.564356,1554.564356,88827.02866,1.767603874,0.017676039,57.13949911,0,BENIGN
134.7674419,134.7674419,11516,11516,18952,1985,263.5686078,69468.41103,1985,32120,0.413411617,0.413411617,1.99657321,135.4823529,135.4823529,5804.946166,1.99657321,0.023768729,42.57294427,74,BENIGN
1567.421569,1567.421569,137228,159877,314858,4266,1097.359321,1204197.479,4266,261,0.37253046,0.37253046,1.822250366,1567.421569,1567.421569,87736.02298,1.822250366,0.018042083,55.97474523,0,BENIGN
1580.029126,1580.029126,140094,162743,320542,4266,1099.417661,1208719.193,4266,261,0.37253046,0.37253046,1.822250605,1580.029126,1580.029126,89308.79188,1.822250605,0.017865202,56.52350985,0,BENIGN
1592.394231,1592.394231,142960,165609,326226,4266,1101.292496,1212845.162,4266,261,0.37253046,0.37253046,1.822250843,1592.394231,1592.394231,90881.56037,1.822250843,0.017691756,57.07227432,0,BENIGN
1604.52381,1604.52381,145826,168475,331910,4266,1102.993849,1216595.43,4266,261,0.37253046,0.37253046,1.822250843,1604.52381,1604.52381,92454.34054,1.822250843,0.017521643,57.62104619,0,BENIGN
133.9770115,133.9770115,11582,11582,19036,1985,262.1519686,68723.65464,1985,32120,0.413411617,0.413411617,2.04373765,134.6744186,134.6744186,5703.276054,2.04373765,0.024043972,42.07976499,74,BENIGN
133.2045455,133.2045455,11648,11648,19120,1985,260.7577751,67994.61725,1985,32120,0.413411617,0.413411617,2.046187162,133.8850575,133.8850575,5728.703716,2.046187162,0.023792874,42.5181047,74,BENIGN
132.4494382,132.4494382,11714,11714,19204,1985,259.3854453,67280.80924,1985,32120,0.413411617,0.413411617,2.046460152,133.1136364,133.1136364,5760.190342,2.046460152,0.02352253,43.00108161,74,BENIGN
131.7111111,131.7111111,11780,11780,19288,1985,258.0344182,66581.76099,1985,32120,0.413411617,0.413411617,2.047057629,132.3595506,132.3595506,5790.750507,2.047057629,0.023262019,43.47703687,74,BENIGN
1616.424528,1616.424528,148692,171341,337594,4266,1104.531105,1219988.961,4266,261,0.37253046,0.37253046,1.825745821,1616.424528,1616.424528,93847.12704,1.825745821,0.017388055,58.05846508,0,BENIGN
1628.102804,1628.102804,151558,174207,343278,4266,1105.913062,1223043.7,4266,261,0.37253046,0.37253046,1.825746059,1628.102804,1628.102804,95416.88402,1.825746059,0.017224019,58.6061788,0,BENIGN
1639.564815,1639.564815,154424,177073,348962,4266,1107.147973,1225776.635,4266,261,0.37253046,0.37253046,1.825746059,1639.564815,1639.564815,96986.65326,1.825746059,0.017063047,59.1539001,0,BENIGN
1650.816514,1650.816514,157290,179939,354646,4266,1108.243591,1228203.856,4266,261,0.37253046,0.37253046,1.825746298,1650.816514,1650.816514,98556.40962,1.825746298,0.016905058,59.7016136,0,BENIGN
1661.863636,1661.863636,160156,182805,360330,4266,1109.207198,1230340.609,4266,261,0.37253046,0.37253046,1.82833457,1661.863636,1661.863636,99984.43557,1.82833457,0.016773712,60.16404317,0,BENIGN
1672.711712,1672.711712,163022,185671,366014,4266,1110.045648,1232201.34,4266,261,0.37253046,0.37253046,1.829848051,1672.711712,1672.711712,101467.988,1.829848051,0.016634982,60.6607745,0,BENIGN
130.989011,130.989011,11846,11846,19372,1985,256.7041524,65897.02186,1985,32120,0.413411617,0.413411617,2.052997589,131.6222222,131.6222222,5806.144178,2.052997589,0.023067389,43.83833692,74,BENIGN
1683.366071,1683.366071,165888,188537,371698,4266,1110.765389,1233799.75,4266,261,0.37253046,0.37253046,1.833632708,1683.366071,1683.366071,102821.5734,1.833632708,0.016519214,61.08093488,0,BENIGN
1693.831858,1693.831858,168754,191403,377382,4266,1111.372498,1235148.83,4266,261,0.37253046,0.37253046,1.833633184,1693.831858,1693.831858,104384.5637,1.833633184,0.016371725,61.62628434,0,BENIGN
130.2826087,130.2826087,11912,11912,19456,1985,255.3941253,65226.15926,1985,32120,0.413411617,0.413411617,2.055116892,130.9010989,130.9010989,5832.271657,2.055116892,0.022834632,44.27971974,74,BENIGN
129.5913978,129.5913978,11978,11978,19540,1985,254.1038327,64568.75778,1985,32120,0.413411617,0.413411617,2.055232525,130.1956522,130.1956522,5864.056672,2.055232525,0.022584973,44.76379139,74,BENIGN
1691.833333,1691.833333,170220,192869,380266,4266,1106.691251,1224765.525,4266,261,0.37253046,0.37253046,1.834340334,1691.833333,1691.833333,105143.5202,1.834340334,0.0162331,62.14768213,0,BENIGN
128.9148936,128.9148936,12044,12044,19624,1985,252.8327872,63924.41829,1985,32120,0.413411617,0.413411617,2.083585501,129.5053763,129.5053763,5815.936037,2.083585501,0.022647668,44.63459741,74,BENIGN
1702.043478,1702.043478,173086,195735,385950,4266,1107.248642,1225999.555,4266,261,0.37253046,0.37253046,1.863794804,1702.043478,1702.043478,105019.6082,1.863794804,0.016349077,61.70207137,0,BENIGN
1694.767241,1694.767241,173944,196593,387618,4266,1105.223556,1221519.11,4266,261,0.37253046,0.37253046,1.86379528,1694.767241,1694.767241,105479.9323,1.86379528,0.016206915,62.2385952,0,BENIGN
128.2526316,128.2526316,12110,12110,19708,1985,251.5805184,63292.75723,1985,32120,0.413411617,0.413411617,2.085407019,128.8297872,128.8297872,5842.504552,2.085407019,0.022423731,45.07513361,74,BENIGN
128.0104167,128.0104167,12215,12215,19870,1985,250.2779078,62639.03114,1985,32120,0.413411617,0.413411617,2.085948944,128.5789474,128.5789474,5891.323484,2.085948944,0.022190946,45.5428213,74,BENIGN
127.6185567,127.6185567,12305,12305,20002,1985,249.0140742,62008.00914,1985,32120,0.413411617,0.413411617,2.08645606,128.1770833,128.1770833,5933.026933,2.08645606,0.021962695,46.01103365,74,BENIGN
126.9897959,126.9897959,12371,12371,20086,1985,247.81772,61413.62234,1985,32120,0.413411617,0.413411617,2.086961985,127.5360825,127.5360825,5963.213557,2.086961985,0.021739187,46.479045,74,BENIGN
508.58,508.58,24187,24187,46022,1399,566.2640759,320655.0036,1399,32120,2.113251209,2.113251209,7.150400639,493.6122449,493.6122449,3556.304225,7.150400639,0.14896668,6.85276287,1242,BENIGN
526.0392157,526.0392157,25586,25586,48772,1399,574.1157211,329608.8612,1399,32120,2.113251209,2.113251209,7.157109022,511.72,511.72,3748.440874,7.157109022,0.146063449,6.98606097,1242,BENIGN
542.8269231,542.8269231,26985,26985,51522,1399,581.0709185,337643.4124,1399,32120,2.113251209,2.113251209,7.159644127,529.1176471,529.1176471,3942.51439,7.159644127,0.143192883,7.123259075,1242,BENIGN
558.9811321,558.9811321,28384,28384,54272,1399,587.2330221,344842.6223,1399,32120,2.113251209,2.113251209,7.16016221,545.8461538,545.8461538,4137.615759,7.16016221,0.140395337,7.262405302,1242,BENIGN
574.537037,574.537037,29783,29783,57022,1399,592.6904043,351281.9153,1399,32120,2.113251209,2.113251209,7.171168566,561.9433962,561.9433962,4326.352074,7.171168566,0.137907088,7.390706203,1242,BENIGN
589.5272727,589.5272727,31182,31182,59772,1399,597.5191699,357029.1583,1399,32120,2.113251209,2.113251209,7.187065601,577.4444444,577.4444444,4511.43788,7.187065601,0.135605011,7.51349758,1242,BENIGN
603.9821429,603.9821429,32581,32581,62522,1399,601.7852753,362145.5175,1399,32120,2.113251209,2.113251209,7.188285351,592.3818182,592.3818182,4705.294566,7.188285351,0.133116395,7.65133788,1242,BENIGN
617.9298246,617.9298246,33980,33980,65272,1399,605.5462043,366686.2056,1399,32120,2.113251209,2.113251209,7.188533545,606.7857143,606.7857143,4899.747602,7.188533545,0.13070061,7.790184139,1242,BENIGN
631.3965517,631.3965517,35379,35379,68022,1399,608.8523104,370701.1359,1399,32120,2.113251209,2.113251209,7.19406414,620.6842105,620.6842105,5090.446691,7.19406414,0.128465431,7.923198749,1242,BENIGN
641.0169492,641.0169492,36578,36578,70372,1399,608.1003901,369786.0845,1399,32120,2.113251209,2.113251209,7.194322586,630.6551724,630.6551724,5256.923018,7.194322586,0.126216186,8.061912613,1242,BENIGN
1680.846154,1680.846154,174010,196659,387702,4266,1110.657098,1233559.19,4266,261,0.37253046,0.37253046,2.004560947,1680.846154,1680.846154,98105.77237,2.004560947,0.017280698,58.36689583,0,BENIGN
1667.161017,1667.161017,174076,196725,387786,4266,1115.80348,1245017.406,4266,261,0.37253046,0.37253046,2.004561901,1667.161017,1667.161017,98138.65059,2.004561901,0.017133008,58.86573018,0,BENIGN
1653.705882,1653.705882,174142,196791,387870,4266,1120.677416,1255917.871,4266,261,0.37253046,0.37253046,2.004561901,1653.705882,1653.705882,98171.57549,2.004561901,0.016987813,59.3645923,0,BENIGN
126.3737374,126.3737374,12437,12437,20170,1985,246.6383516,60830.47648,1985,32120,0.413411617,0.413411617,2.226116896,126.9081633,126.9081633,5620.100195,2.226116896,0.022949659,44.02284543,74,BENIGN
1640.475,1640.475,174208,196857,387954,4266,1125.292665,1266283.583,4266,261,0.37253046,0.37253046,2.006541491,1640.475,1640.475,98107.61498,2.006541491,0.016861693,59.80439506,0,BENIGN
652.5396825,652.5396825,28831,41110,79196,2866,698.2069513,487492.9468,2866,65160,2.157356501,2.157356501,7.214745045,652.5396825,652.5396825,5698.053049,7.214745045,0.116366856,8.732117297,0,BENIGN
643.40625,643.40625,28899,41178,79284,2866,696.5136781,485131.3037,2866,65160,2.157356501,2.157356501,7.216321945,643.40625,643.40625,5706.231001,7.216321945,0.114544793,8.868783916,0,BENIGN
634.5538462,634.5538462,28967,41246,79372,2866,694.7539915,482683.1086,2866,65160,2.157356501,2.157356501,7.231557131,634.5538462,634.5538462,5703.612549,7.231557131,0.11299308,8.988382284,0,BENIGN
625.9848485,625.9848485,29036,41315,79462,2866,692.9231776,480142.5301,2866,65160,2.157356501,2.157356501,7.231557608,625.9848485,625.9848485,5713.153686,7.231557608,0.111254732,9.126664487,0,BENIGN
617.6567164,617.6567164,29104,41383,79550,2866,691.0527023,477553.8374,2866,65160,2.157356501,2.157356501,7.231557608,617.6567164,617.6567164,5722.556916,7.231557608,0.109569055,9.264947282,0,BENIGN
609.5735294,609.5735294,29172,41451,79638,2866,689.1361454,474908.6269,2866,65160,2.157356501,2.157356501,7.231557608,609.5735294,609.5735294,5731.960146,7.231557608,0.107933696,9.403230077,0,BENIGN
601.7391304,601.7391304,29241,41520,79728,2866,687.1677991,472199.5841,2866,65160,2.157356501,2.157356501,7.238756657,601.7391304,601.7391304,5735.791652,7.238756657,0.106452304,9.532023699,0,BENIGN
594.1142857,594.1142857,29309,41588,79816,2866,685.1754633,469465.4155,2866,65160,2.157356501,2.157356501,7.238758087,594.1142857,594.1142857,5745.184395,7.238758087,0.104909537,9.670167059,0,BENIGN
586.7042254,586.7042254,29377,41656,79904,2866,683.1521472,466696.8562,2866,65160,2.157356501,2.157356501,7.241096973,586.7042254,586.7042254,5752.719533,7.241096973,0.103444242,9.805144201,0,BENIGN
579.5,579.5,29445,41724,79992,2866,681.101987,463899.9167,2866,65160,2.157356501,2.157356501,7.243272781,579.5,579.5,5760.379494,7.243272781,0.102017926,9.940257971,0,BENIGN
